obs1,obs2,hyp1,hyp2,label,hyp1_paraphrase,settings,original_example_id
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"The friend of marvin, sarah, joined us, but saara","{'lexical': 0.5, 'syntactic': 0.55, 'semantic': 0.85}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"The girlfriend of marvin also joined the group, sarah, who works out of","{'lexical': 0.4, 'syntactic': 0.55, 'semantic': 0.85}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"Marvin's friend sarah joined us, but she's out of the","{'lexical': 0.45, 'syntactic': 0.35, 'semantic': 0.75}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"Marvin's girl sarah joined us, but her sydney","{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 1.0}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"Marvin and his friend sarah joined us, but her job was different.","{'lexical': 0.5, 'syntactic': 0.5, 'semantic': 0.7}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"The girlfriend of marvin also joined the group, sarah, who went back to","{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 0.85}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"Marvin and her friend sarah joined us, but she's been statione","{'lexical': 0.5, 'syntactic': 0.2, 'semantic': 0.8}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"Marvin's friend sarah joined us, but she's been with him","{'lexical': 0.5, 'syntactic': 0.25, 'semantic': 0.7}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"A friend of mine, sarah, joined us, but a different location.","{'lexical': 0.5, 'syntactic': 0.55, 'semantic': 0.7}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"Marvin's friend sarah joined us, but her sister saara","{'lexical': 0.5, 'syntactic': 0.55, 'semantic': 0.8}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"Marvin's friend sarah joined us, but her sister scott'","{'lexical': 0.5, 'syntactic': 0.55, 'semantic': 0.9}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"Marvin's friend sarah joined us, but she's been with us","{'lexical': 0.55, 'syntactic': 0.3, 'semantic': 0.75}",130
Marvin joined the military shortly after graduating from high school.,Upon her return Marvin was elated and asked Sarah to marry him.,"Marvin's girlfriend Sarah also joined, but she was stationed elsewhere.","Sarah left to college, and Marvin waited for her to go.",1,"Marvin's friend sarah joined us, but her sister scott was","{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 0.85}",130
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had a lot of photos when she was attracted.,"{'lexical': 0.25, 'syntactic': 0.2, 'semantic': 0.75}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had a lot of photos when she was in the city.,"{'lexical': 0.2, 'syntactic': 0.25, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photographs to show her when she was sightseeing.,"{'lexical': 0.2, 'syntactic': 0.25, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photographs when she was sightseeing.,"{'lexical': 0.2, 'syntactic': 0.2, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photographs when she visited.,"{'lexical': 0.25, 'syntactic': 0.25, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's taken a lot of photos when she's gone to see.,"{'lexical': 0.25, 'syntactic': 0.35, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had taken many photos when she was in the city.,"{'lexical': 0.2, 'syntactic': 0.3, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had taken many photographs when she visited.,"{'lexical': 0.2, 'syntactic': 0.3, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photographs to show her while she was sightseeing.,"{'lexical': 0.2, 'syntactic': 0.3, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been taking many photos when she's been to see.,"{'lexical': 0.35, 'syntactic': 0.35, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been taking many photos when she's been to see the sights.,"{'lexical': 0.25, 'syntactic': 0.35, 'semantic': 0.75}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's taken many photos when she's sightseeing.,"{'lexical': 0.2, 'syntactic': 0.4, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,"When she visited, Sally had many photographs.","{'lexical': 0.5, 'syntactic': 0.55, 'semantic': 0.8}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,"When she visited, she had a lot of photos.","{'lexical': 0.2, 'syntactic': 0.55, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photographs to show her when she was in her sights.,"{'lexical': 0.25, 'syntactic': 0.2, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photographs to show her while she was in the city.,"{'lexical': 0.25, 'syntactic': 0.25, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally took many photos when she was sightseeing.,"{'lexical': 0.25, 'syntactic': 0.2, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photographs to show her that she was looking for.,"{'lexical': 0.25, 'syntactic': 0.25, 'semantic': 0.7}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photographs to show her that she was looking at.,"{'lexical': 0.25, 'syntactic': 0.25, 'semantic': 0.75}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photographs to show her when she was in the city.,"{'lexical': 0.25, 'syntactic': 0.25, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had taken many photos with her to see her sights.,"{'lexical': 0.25, 'syntactic': 0.3, 'semantic': 0.8}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photographs to show her that she was looking.,"{'lexical': 0.25, 'syntactic': 0.3, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photographs to show her that she was visiting.,"{'lexical': 0.25, 'syntactic': 0.3, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photos when she visited.,"{'lexical': 0.45, 'syntactic': 0.25, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's taken many photos when she's gone to see.,"{'lexical': 0.3, 'syntactic': 0.35, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,"When she visited, she had many photographs.","{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 0.75}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photos to show her that she was looking for.,"{'lexical': 0.45, 'syntactic': 0.25, 'semantic': 0.75}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photos to show her that she was looking at it.,"{'lexical': 0.35, 'syntactic': 0.3, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photos to show her that she was visiting.,"{'lexical': 0.3, 'syntactic': 0.3, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been photographing many of them.,"{'lexical': 0.45, 'syntactic': 0.35, 'semantic': 0.7}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been taking many photos when she's gone to see.,"{'lexical': 0.3, 'syntactic': 0.4, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photos of her while she was in her sights.,"{'lexical': 0.45, 'syntactic': 0.25, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally was taking many photos when she visited.,"{'lexical': 0.45, 'syntactic': 0.3, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been photographing many times.,"{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been taking many photos when she's seen.,"{'lexical': 0.35, 'syntactic': 0.4, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photos to show her that she was looking.,"{'lexical': 0.4, 'syntactic': 0.3, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,"When she visited, Sally had many photos.","{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,"When Sally visited, she had many photographs.","{'lexical': 0.45, 'syntactic': 0.45, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally shot many photos when she visited.,"{'lexical': 0.55, 'syntactic': 0.2, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally had many photos of her sights when she visited.,"{'lexical': 0.45, 'syntactic': 0.25, 'semantic': 0.8}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally was looking at me when she visited.,"{'lexical': 0.45, 'syntactic': 0.3, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been photographing many things while she's been to see.,"{'lexical': 0.45, 'syntactic': 0.35, 'semantic': 0.75}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally was very photocious when she was gone.,"{'lexical': 0.55, 'syntactic': 0.3, 'semantic': 0.8}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally was very photocious when she was gone to see all of her sights.,"{'lexical': 0.5, 'syntactic': 0.2, 'semantic': 0.8}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally was very photocrous when she was looking for a trip.,"{'lexical': 0.5, 'syntactic': 0.25, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally was very photocrous when she was sightseeing.,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 1.0}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally was very photocrous when she was gone.,"{'lexical': 0.5, 'syntactic': 0.3, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally was very photocrous when she was visited.,"{'lexical': 0.5, 'syntactic': 0.3, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been photographing very often.,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 0.75}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been photographing.,"{'lexical': 0.55, 'syntactic': 0.4, 'semantic': 0.75}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally was very photocious when she was looking for a trip.,"{'lexical': 0.55, 'syntactic': 0.25, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally was very photocious when she went to see.,"{'lexical': 0.55, 'syntactic': 0.3, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally was very photocious when she was visiting.,"{'lexical': 0.55, 'syntactic': 0.3, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been photographing when she was there.,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 0.8}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been photographing when she was looking.,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 0.85}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been photographing when she's seen.,"{'lexical': 0.55, 'syntactic': 0.4, 'semantic': 0.8}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,Sally's been photographing when she was visiting.,"{'lexical': 0.55, 'syntactic': 0.4, 'semantic': 0.9}",122
Sally went to Italy in the spring.,"When she got home, Sally showed her pictures to all her friends.",Sally took a lot of pictures when she went sightseeing.,Sally took to pictures at every place she visited.,1,"When she visited, Sally often had photos.","{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 0.8}",122
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,Lance had refused sleep.,"{'lexical': 0.55, 'syntactic': 0.4, 'semantic': 1.0}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,Lance's children had refused sleep.,"{'lexical': 0.5, 'syntactic': 0.2, 'semantic': 1.0}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,Lance had resisted sleeping.,"{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 1.0}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,Lance had refused to sleep.,"{'lexical': 0.2, 'syntactic': 0.25, 'semantic': 1.0}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,Lance had ceased to sleep.,"{'lexical': 0.45, 'syntactic': 0.45, 'semantic': 1.0}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, lâne had her kids refused to sleep.","{'lexical': 0.3, 'syntactic': 0.5, 'semantic': 0.7}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, lâne's kids have refused to sleep.","{'lexical': 0.2, 'syntactic': 0.5, 'semantic': 0.8}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, lads' kids refuse to sleep.","{'lexical': 0.25, 'syntactic': 0.5, 'semantic': 1.0}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"I mean, lancie's kids refused to sleep.","{'lexical': 0.2, 'syntactic': 0.55, 'semantic': 0.8}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"I mean, my kids didn't even get to sleep.","{'lexical': 0.25, 'syntactic': 0.55, 'semantic': 0.85}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,The kids of France refused sleep.,"{'lexical': 0.2, 'syntactic': 0.55, 'semantic': 1.0}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, lads' kids refuse sleep.","{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 0.9}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"I mean, lancie's kids refused sleep.","{'lexical': 0.3, 'syntactic': 0.55, 'semantic': 0.75}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, the kids of France refused to sleep.","{'lexical': 0.4, 'syntactic': 0.55, 'semantic': 0.9}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,The children of France have refused to sleep.,"{'lexical': 0.3, 'syntactic': 0.55, 'semantic': 1.0}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,Lance had withdrawn from sleep.,"{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 0.9}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, the kids of France didn't get to sleep.","{'lexical': 0.3, 'syntactic': 0.55, 'semantic': 0.7}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, the kids of France haven't got to sleep.","{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 0.8}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,Lance had withdrawn his sleep.,"{'lexical': 0.4, 'syntactic': 0.45, 'semantic': 0.7}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, lâne had a child who refused to sleep.","{'lexical': 0.4, 'syntactic': 0.5, 'semantic': 0.7}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,The children of France have refused sleep.,"{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 1.0}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, lads' children refuse sleep.","{'lexical': 0.45, 'syntactic': 0.5, 'semantic': 1.0}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, lâne had a baby that didn't sleep.","{'lexical': 0.45, 'syntactic': 0.5, 'semantic': 0.7}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, lâne had refused sleep.","{'lexical': 0.55, 'syntactic': 0.5, 'semantic': 0.8}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, lance's kids have refused sleep.","{'lexical': 0.5, 'syntactic': 0.5, 'semantic': 0.9}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,French children have refused sleep.,"{'lexical': 0.55, 'syntactic': 0.5, 'semantic': 1.0}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, lancie's kids have refused sleep.","{'lexical': 0.5, 'syntactic': 0.55, 'semantic': 0.75}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,"Well, lanish kids didn't sleep.","{'lexical': 0.5, 'syntactic': 0.55, 'semantic': 0.85}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,No sleep for Langs.,"{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 0.9}",383
Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's kids refused to go to sleep.,Lance instead got into a fight with his wife because she was not in a romantic mood.,2,Lance refused sleep.,"{'lexical': 0.55, 'syntactic': 0.2, 'semantic': 1.0}",383
